id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi,sisa_hari_panen
13,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.8,204,29,15.0,15.0,15.0,21,Vegetatif Awal,6.5,23,17,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8,94
14,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,0.5,201,28,15.0,15.0,15.0,78,Generatif,6.0,29,15,23,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8,32
15,Tondano Selatan,Bisi 2,Regosol,Pasir,0.8,248,27,15.0,15.0,15.0,22,Vegetatif Awal,6.5,22,26,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,93
16,Tondano Utara,NK Perkasa,Regosol,Lempung Berpasir,1.7,160,30,23.0,0.0,0.0,81,Generatif,6.5,30,17,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,29
17,Sonder,Pioneer Sweet Corn,Latosol,Lempung,2.7,185,30,0.0,0.0,0.0,22,Vegetatif Awal,6.2,20,9,10,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9,68
18,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.0,220,29,15.0,15.0,15.0,78,Generatif,6.1,16,24,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9,12
19,Tondano Utara,Pertiwi,Andosol,Lempung,1.9,188,29,23.0,0.0,0.0,78,Generatif,6.2,21,11,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.8,27
20,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,2.4,209,30,23.0,0.0,0.0,29,Vegetatif Aktif,5.6,29,13,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.8,81
21,Tondano Utara,Pertiwi,Andosol,Pasir,1.0,236,28,15.0,15.0,15.0,54,Vegetatif Aktif,6.0,29,23,19,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,51
22,Sonder,NK Perkasa,Andosol,Lempung,1.2,193,31,15.0,15.0,15.0,75,Generatif,6.3,18,18,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,35
23,Kauditan,Bisi 2,Regosol,Pasir,2.3,218,28,0.0,0.0,0.0,52,Vegetatif Aktif,5.9,10,10,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.0,63
24,Tombulu,Pertiwi,Andosol,Pasir,1.2,215,28,15.0,15.0,15.0,76,Generatif,6.3,24,15,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.6,29
25,Kauditan,Bisi 2,Regosol,Pasir,0.9,220,27,15.0,15.0,15.0,74,Generatif,5.6,25,21,18,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,41
26,Tondano Utara,Bisi 2,Latosol,Lempung,2.1,223,26,23.0,0.0,0.0,16,Vegetatif Awal,6.7,17,16,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.9,99
27,Langowan,Bisi 2,Regosol,Pasir,2.4,209,27,15.0,15.0,15.0,70,Generatif,5.8,17,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.8,45
28,Airmadidi,NK Perkasa,Regosol,Pasir,1.8,242,28,15.0,15.0,15.0,27,Vegetatif Aktif,6.1,21,21,23,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8,83
29,Langowan,Bisi 2,Regosol,Pasir,1.8,161,26,0.0,0.0,0.0,71,Generatif,5.9,17,20,18,Seimbang,Pertahankan Kondisi,0,0,0,115,5.1,44
30,Tondano Selatan,NK Perkasa,Regosol,Pasir,1.7,215,27,15.0,15.0,15.0,39,Vegetatif Aktif,5.5,23,14,25,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.9,71
31,Airmadidi,Bisi 2,Regosol,Pasir,1.1,161,26,15.0,15.0,15.0,23,Vegetatif Awal,5.7,28,16,18,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,92
32,Tondano Utara,Pertiwi,Andosol,Lempung,2.4,165,29,23.0,0.0,0.0,25,Vegetatif Awal,6.0,23,14,11,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,80
33,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,0.7,239,29,38.0,15.0,15.0,19,Vegetatif Awal,6.0,30,19,21,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,71
34,Tomohon,NK Perkasa,Regosol,Lempung Berpasir,3.0,190,26,38.0,15.0,15.0,79,Generatif,6.3,28,16,25,Seimbang,Pertahankan Kondisi,0,0,0,110,6.9,31
35,Kauditan,Pertiwi,Andosol,Lempung,2.1,225,28,23.0,0.0,0.0,32,Vegetatif Aktif,5.9,24,20,15,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,73
36,Tondano Utara,Pertiwi,Andosol,Lempung,2.6,175,26,0.0,0.0,0.0,55,Vegetatif Aktif,6.6,16,14,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.8,50
37,Tondano Utara,Pertiwi,Andosol,Lempung,1.9,238,28,0.0,0.0,0.0,23,Vegetatif Awal,6.4,13,13,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.9,82
38,Tondano Utara,NK Perkasa,Regosol,Pasir,1.9,204,31,15.0,15.0,15.0,43,Vegetatif Aktif,5.7,14,16,25,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,67
39,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.6,195,27,23.0,0.0,0.0,83,Generatif,6.4,29,20,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,6.0,7
40,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.3,215,29,15.0,15.0,15.0,18,Vegetatif Awal,6.7,22,26,17,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,72
41,Tomohon,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.6,216,26,15.0,15.0,15.0,29,Vegetatif Aktif,5.6,25,16,23,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,61
42,Tondano Utara,Pertiwi,Andosol,Lempung,3.0,165,30,23.0,0.0,0.0,28,Vegetatif Aktif,5.8,26,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,6.6,77
43,Tondano Utara,Bisi 2,Regosol,Lempung Berpasir,2.1,162,28,15.0,15.0,15.0,23,Vegetatif Awal,6.3,22,24,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8,92
44,Tomohon,NK Perkasa,Andosol,Lempung,0.6,234,27,0.0,0.0,0.0,16,Vegetatif Awal,5.7,10,19,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.8,94
45,Tomohon,NK Perkasa,Andosol,Lempung,1.3,243,26,0.0,0.0,0.0,45,Vegetatif Aktif,6.6,14,13,16,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.7,65
46,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,1.8,194,30,15.0,15.0,15.0,53,Vegetatif Aktif,5.7,26,18,24,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8,37
47,Sonder,Pioneer Sweet Corn,Latosol,Lempung,1.8,180,31,0.0,0.0,0.0,57,Generatif,6.1,13,10,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,4.9,33
48,Airmadidi,NK Perkasa,Regosol,Lempung Berpasir,2.8,198,30,15.0,15.0,15.0,60,Generatif,6.1,19,21,19,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,50
49,Sonder,Bisi 2,Regosol,Lempung Berpasir,1.4,246,31,38.0,15.0,15.0,40,Vegetatif Aktif,6.8,29,21,25,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,75
50,Sonder,NK Perkasa,Regosol,Pasir,1.1,196,29,38.0,15.0,15.0,25,Vegetatif Awal,6.2,31,22,22,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,85
51,Langowan,Bisi 2,Regosol,Lempung Berpasir,2.1,168,27,38.0,15.0,15.0,17,Vegetatif Awal,6.2,31,21,21,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,98
52,Tombulu,NK Perkasa,Regosol,Lempung Berpasir,0.7,155,30,15.0,15.0,15.0,16,Vegetatif Awal,5.8,17,21,21,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.8,94
53,Langowan,Bisi 2,Regosol,Pasir,2.8,156,28,0.0,0.0,0.0,74,Generatif,5.5,18,8,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,41
54,Tomohon,NK Perkasa,Regosol,Pasir,1.1,163,28,0.0,0.0,0.0,79,Generatif,6.1,13,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.1,31
55,Tondano Selatan,Pertiwi,Andosol,Pasir,2.1,182,27,15.0,15.0,15.0,19,Vegetatif Awal,6.0,19,16,23,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,6.7,86
56,Tombulu,NK Perkasa,Regosol,Lempung Berpasir,2.7,170,28,38.0,15.0,15.0,26,Vegetatif Aktif,6.8,24,23,25,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,84
57,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.9,179,30,23.0,0.0,0.0,72,Generatif,6.1,29,18,20,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,43
58,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,0.9,159,30,23.0,0.0,0.0,74,Generatif,6.6,28,20,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,6.0,16
59,Kauditan,Bisi 2,Regosol,Pasir,2.8,177,31,23.0,0.0,0.0,81,Generatif,6.4,27,17,18,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,34
60,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,1.2,175,26,0.0,0.0,0.0,85,Generatif,6.2,20,19,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0,25
61,Sonder,NK Perkasa,Andosol,Lempung,1.1,163,26,38.0,15.0,15.0,43,Vegetatif Aktif,5.8,30,20,19,Seimbang,Pertahankan Kondisi,0,0,0,110,7.7,67
62,Tondano Selatan,NK Perkasa,Regosol,Pasir,1.0,161,28,38.0,15.0,15.0,47,Vegetatif Aktif,6.5,24,20,20,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,63
63,Kauditan,Bisi 2,Regosol,Lempung Berpasir,0.8,194,29,23.0,0.0,0.0,74,Generatif,5.7,23,18,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.9,41
64,Tondano Utara,Bisi 2,Latosol,Lempung,0.6,243,28,23.0,0.0,0.0,20,Vegetatif Awal,6.3,20,13,18,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,95
65,Tombulu,Pertiwi,Andosol,Lempung,1.3,198,26,0.0,0.0,0.0,47,Vegetatif Aktif,5.9,21,11,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.9,58
66,Tomohon,NK Perkasa,Regosol,Pasir,2.1,155,31,15.0,15.0,15.0,69,Generatif,6.3,20,17,25,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0,41
67,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,1.2,228,28,0.0,0.0,0.0,23,Vegetatif Awal,6.3,16,20,13,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,4.9,67
68,Sonder,NK Perkasa,Regosol,Pasir,1.8,220,26,38.0,15.0,15.0,52,Vegetatif Aktif,6.8,21,18,18,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,58
69,Tomohon,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.4,168,28,38.0,15.0,15.0,49,Vegetatif Aktif,6.0,25,19,16,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,41
70,Tombulu,Pertiwi,Andosol,Lempung,2.2,168,31,23.0,0.0,0.0,31,Vegetatif Aktif,6.0,26,19,22,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,74
71,Sonder,Bisi 2,Regosol,Pasir,2.1,157,30,38.0,15.0,15.0,57,Generatif,6.6,30,19,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,6.8,58
72,Langowan,NK Perkasa,Regosol,Pasir,2.5,154,27,15.0,15.0,15.0,74,Generatif,6.6,14,14,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,6.0,36
73,Kauditan,Pertiwi,Andosol,Lempung,1.4,199,30,23.0,0.0,0.0,69,Generatif,5.8,23,17,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.8,36
74,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,0.7,197,27,38.0,15.0,15.0,48,Vegetatif Aktif,6.4,24,26,26,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,42
75,Sonder,Bisi 2,Regosol,Lempung Berpasir,2.6,223,27,0.0,0.0,0.0,60,Generatif,6.8,14,12,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,55
76,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,1.1,230,28,23.0,0.0,0.0,18,Vegetatif Awal,6.4,29,17,16,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,72
77,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,1.9,170,31,38.0,15.0,15.0,10,Vegetatif Awal,6.5,28,15,22,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,80
78,Tomohon,NK Perkasa,Regosol,Pasir,2.2,203,29,23.0,0.0,0.0,58,Generatif,6.4,31,8,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.9,52
79,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,1.9,189,28,38.0,15.0,15.0,28,Vegetatif Aktif,5.8,31,23,19,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,62
80,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,0.8,174,26,38.0,15.0,15.0,45,Vegetatif Aktif,6.4,22,14,25,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,6.8,45
81,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,2.9,243,29,0.0,0.0,0.0,14,Vegetatif Awal,6.7,14,17,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.0,76
82,Tondano Selatan,NK Perkasa,Regosol,Pasir,2.8,207,29,0.0,0.0,0.0,67,Generatif,5.6,23,14,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.0,43
83,Tondano Utara,Bisi 2,Regosol,Pasir,2.7,248,30,0.0,0.0,0.0,49,Vegetatif Aktif,6.2,14,16,16,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0,66
84,Tomohon,NK Perkasa,Andosol,Pasir,1.1,152,27,15.0,15.0,15.0,58,Generatif,6.0,16,24,26,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,52
85,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.7,180,27,23.0,0.0,0.0,71,Generatif,5.5,26,17,19,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,19
86,Tondano Selatan,Pertiwi,Andosol,Lempung,1.5,184,29,0.0,0.0,0.0,77,Generatif,6.5,15,20,18,Seimbang,Pertahankan Kondisi,0,0,0,105,5.7,28
87,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,3.0,178,29,38.0,15.0,15.0,68,Generatif,5.7,21,16,24,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,22
88,Kauditan,NK Perkasa,Regosol,Lempung Berpasir,1.5,172,26,0.0,0.0,0.0,19,Vegetatif Awal,6.2,24,9,14,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0,91
89,Tomohon,NK Perkasa,Andosol,Lempung,2.8,186,28,15.0,15.0,15.0,60,Generatif,6.7,25,14,20,Seimbang,Pertahankan Kondisi,0,0,0,110,6.6,50
90,Tondano Utara,Pertiwi,Andosol,Lempung,1.4,240,29,0.0,0.0,0.0,20,Vegetatif Awal,5.6,14,8,10,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.7,85
91,Tombulu,Pertiwi,Andosol,Pasir,1.0,181,28,15.0,15.0,15.0,18,Vegetatif Awal,5.8,24,20,24,Seimbang,Pertahankan Kondisi,0,0,0,105,6.6,87
92,Langowan,NK Perkasa,Regosol,Lempung Berpasir,1.6,168,29,15.0,15.0,15.0,28,Vegetatif Aktif,6.6,20,18,14,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,82
93,Tombulu,Bisi 2,Regosol,Pasir,0.9,152,31,15.0,15.0,15.0,33,Vegetatif Aktif,6.2,26,25,26,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,82
94,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.4,175,29,15.0,15.0,15.0,24,Vegetatif Awal,6.4,19,22,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.9,91
95,Tondano Utara,Pertiwi,Andosol,Pasir,2.8,223,28,23.0,0.0,0.0,43,Vegetatif Aktif,6.1,31,13,21,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,6.6,62
96,Tondano Utara,Pertiwi,Andosol,Lempung,1.5,198,29,0.0,0.0,0.0,47,Vegetatif Aktif,5.9,18,16,16,Seimbang,Pertahankan Kondisi,0,0,0,105,5.8,58
97,Tombulu,Pertiwi,Andosol,Pasir,2.4,181,26,0.0,0.0,0.0,28,Vegetatif Aktif,5.6,18,9,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.9,77
98,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.3,156,30,0.0,0.0,0.0,42,Vegetatif Aktif,6.1,13,11,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.0,48
99,Tombulu,Pertiwi,Andosol,Pasir,2.8,195,30,15.0,15.0,15.0,47,Vegetatif Aktif,6.3,29,22,25,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,58
100,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.2,234,31,15.0,15.0,15.0,17,Vegetatif Awal,6.4,23,20,25,Seimbang,Pertahankan Kondisi,0,0,0,90,6.0,73
101,Tondano Utara,Bisi 2,Latosol,Lempung,1.0,237,27,0.0,0.0,0.0,43,Vegetatif Aktif,5.8,17,13,13,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,4.9,72
102,Tondano Selatan,Pertiwi,Andosol,Lempung,0.9,195,28,15.0,15.0,15.0,40,Vegetatif Aktif,5.5,18,22,24,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,65
103,Kauditan,Bisi 2,Regosol,Lempung Berpasir,2.7,240,28,15.0,15.0,15.0,52,Vegetatif Aktif,5.6,22,19,21,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,63
104,Tombulu,Pertiwi,Andosol,Pasir,1.6,228,28,23.0,0.0,0.0,62,Generatif,6.6,29,20,19,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,43
105,Airmadidi,Bisi 2,Regosol,Pasir,2.3,215,26,0.0,0.0,0.0,80,Generatif,6.8,23,15,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,35
106,Tondano Utara,Pertiwi,Andosol,Pasir,1.1,244,29,23.0,0.0,0.0,57,Generatif,6.4,19,20,10,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.7,48
107,Tondano Selatan,Bisi 2,Latosol,Lempung,2.0,230,30,23.0,0.0,0.0,48,Vegetatif Aktif,5.9,24,16,12,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8,67
108,Tomohon,NK Perkasa,Andosol,Lempung,0.8,206,31,0.0,0.0,0.0,73,Generatif,6.6,24,8,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8,37
109,Airmadidi,NK Perkasa,Andosol,Pasir,0.6,179,27,15.0,15.0,15.0,41,Vegetatif Aktif,6.0,27,21,14,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,69
110,Airmadidi,NK Perkasa,Regosol,Lempung Berpasir,2.1,199,30,23.0,0.0,0.0,82,Generatif,6.0,30,17,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,6.0,28
111,Tondano Selatan,Bisi 2,Latosol,Lempung,2.8,160,29,15.0,15.0,15.0,63,Generatif,6.0,14,15,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,52
112,Tondano Selatan,NK Perkasa,Regosol,Pasir,2.0,237,27,0.0,0.0,0.0,36,Vegetatif Aktif,5.6,14,11,12,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.0,74
113,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.3,188,30,15.0,15.0,15.0,82,Generatif,5.5,28,25,19,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,8
114,Sonder,NK Perkasa,Andosol,Pasir,1.3,222,27,23.0,0.0,0.0,10,Vegetatif Awal,6.6,21,13,17,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,100
115,Sonder,Bisi 2,Regosol,Pasir,2.4,191,28,0.0,0.0,0.0,62,Generatif,5.7,11,8,21,Seimbang,Pertahankan Kondisi,0,0,0,115,5.1,53
116,Airmadidi,NK Perkasa,Regosol,Pasir,1.0,210,29,15.0,15.0,15.0,10,Vegetatif Awal,6.3,14,25,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,6.0,100
117,Kauditan,Pertiwi,Andosol,Lempung,2.9,237,30,38.0,15.0,15.0,33,Vegetatif Aktif,6.3,29,14,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,7.6,72
118,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.9,186,31,0.0,0.0,0.0,81,Generatif,5.7,19,13,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,34
119,Sonder,Bisi 2,Regosol,Lempung Berpasir,1.5,247,27,0.0,0.0,0.0,64,Generatif,5.8,25,18,18,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0,51
120,Tondano Selatan,Pertiwi,Andosol,Pasir,0.9,218,28,38.0,15.0,15.0,59,Generatif,6.3,22,19,24,Seimbang,Pertahankan Kondisi,0,0,0,105,7.6,46
121,Kauditan,Bisi 2,Regosol,Pasir,0.9,209,27,0.0,0.0,0.0,85,Generatif,6.0,24,13,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.1,30
122,Kauditan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.2,215,28,0.0,0.0,0.0,25,Vegetatif Awal,5.7,21,12,10,Seimbang,Pertahankan Kondisi,0,0,0,90,5.0,65
123,Tondano Utara,Bisi 2,Regosol,Lempung Berpasir,0.7,227,29,0.0,0.0,0.0,35,Vegetatif Aktif,6.7,14,9,10,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.1,80
124,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.8,174,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.0,26,17,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,86
125,Sonder,NK Perkasa,Andosol,Lempung,2.6,225,31,38.0,15.0,15.0,50,Vegetatif Aktif,6.6,28,24,17,Seimbang,Pertahankan Kondisi,0,0,0,110,7.5,60
126,Tomohon,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.9,211,26,15.0,15.0,15.0,70,Generatif,6.0,17,18,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9,20
127,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.5,204,28,0.0,0.0,0.0,14,Vegetatif Awal,5.8,18,17,14,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,4.9,76
128,Airmadidi,NK Perkasa,Andosol,Pasir,2.2,230,28,38.0,15.0,15.0,76,Generatif,6.6,24,19,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,7.7,34
129,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung Berpasir,0.5,195,27,15.0,15.0,15.0,20,Vegetatif Awal,5.9,17,20,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,6.0,70
130,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,0.7,234,26,0.0,0.0,0.0,52,Vegetatif Aktif,5.9,11,18,13,Seimbang,Pertahankan Kondisi,0,0,0,90,5.1,38
131,Tondano Selatan,Bisi 2,Latosol,Lempung,2.1,185,29,15.0,15.0,15.0,25,Vegetatif Awal,6.4,27,20,14,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,90
