id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi
30,Tondano Selatan,NK Perkasa,Regosol,Pasir,1.7,215,27,15.0,15.0,15.0,39,Vegetatif Aktif,5.5,23,14,25,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.0
31,Airmadidi,Pertiwi,Regosol,Pasir,1.1,161,26,15.0,15.0,15.0,23,Vegetatif Awal,5.7,28,16,18,Seimbang,Pertahankan Kondisi,0,0,0,105,4.9
32,Tondano Utara,Pioneer Sweet Corn,Andosol,Lempung,2.4,165,29,23.0,0.0,0.0,25,Vegetatif Awal,6.0,23,14,11,Seimbang,Pertahankan Kondisi,0,0,0,90,5.5
33,Kauditan,NK Perkasa,Latosol,Lempung,0.7,239,29,38.0,15.0,15.0,19,Vegetatif Awal,6.0,30,19,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0
34,Tomohon,Bisi 2,Regosol,Lempung Berpasir,3.0,190,26,38.0,15.0,15.0,79,Generatif,6.3,28,16,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.2
35,Kauditan,Pioneer Sweet Corn,Andosol,Lempung,2.1,225,28,23.0,0.0,0.0,32,Vegetatif Aktif,5.9,24,20,15,Seimbang,Pertahankan Kondisi,0,0,0,90,5.6
36,Tondano Utara,Pertiwi,Andosol,Lempung,2.6,175,26,0.0,0.0,0.0,55,Vegetatif Aktif,6.6,16,14,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.7
37,Tondano Utara,Pioneer Sweet Corn,Andosol,Lempung,1.9,238,28,0.0,0.0,0.0,23,Vegetatif Awal,6.4,13,13,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.4
38,Tondano Utara,Pioneer Sweet Corn,Regosol,Pasir,1.9,204,31,15.0,15.0,15.0,43,Vegetatif Aktif,5.7,14,16,25,Seimbang,Pertahankan Kondisi,0,0,0,90,4.7
39,Tombulu,Bisi 2,Latosol,Lempung Berpasir,1.6,195,27,23.0,0.0,0.0,83,Generatif,6.4,29,20,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.2
40,Langowan,Bisi 2,Latosol,Lempung Berpasir,2.3,215,29,15.0,15.0,15.0,18,Vegetatif Awal,6.7,22,26,17,Seimbang,Pertahankan Kondisi,0,0,0,115,4.9
41,Tomohon,Pertiwi,Latosol,Lempung Berpasir,1.6,216,26,15.0,15.0,15.0,29,Vegetatif Aktif,5.6,25,16,23,Seimbang,Pertahankan Kondisi,0,0,0,105,5.0
42,Tondano Utara,Pertiwi,Andosol,Lempung,3.0,165,30,23.0,0.0,0.0,28,Vegetatif Aktif,5.8,26,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,6.1
43,Tondano Utara,Bisi 2,Regosol,Lempung Berpasir,2.1,162,28,15.0,15.0,15.0,23,Vegetatif Awal,6.3,22,24,24,Seimbang,Pertahankan Kondisi,0,0,0,115,4.8
44,Tomohon,Pioneer Sweet Corn,Andosol,Lempung,0.6,234,27,0.0,0.0,0.0,16,Vegetatif Awal,5.7,10,19,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.1
45,Tomohon,Bisi 2,Andosol,Lempung,1.3,243,26,0.0,0.0,0.0,45,Vegetatif Aktif,6.6,14,13,16,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.5
46,Tombulu,NK Perkasa,Latosol,Lempung,1.8,194,30,15.0,15.0,15.0,53,Vegetatif Aktif,5.7,26,18,24,Seimbang,Pertahankan Kondisi,0,0,0,110,5.5
47,Sonder,Pertiwi,Latosol,Lempung,1.8,180,31,0.0,0.0,0.0,57,Generatif,6.1,13,10,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.6
48,Airmadidi,Pioneer Sweet Corn,Regosol,Lempung Berpasir,2.8,198,30,15.0,15.0,15.0,60,Generatif,6.1,19,21,19,Seimbang,Pertahankan Kondisi,0,0,0,90,4.8
49,Sonder,NK Perkasa,Regosol,Lempung Berpasir,1.4,246,31,38.0,15.0,15.0,40,Vegetatif Aktif,6.8,29,21,25,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8
50,Sonder,Pioneer Sweet Corn,Regosol,Pasir,1.1,196,29,38.0,15.0,15.0,25,Vegetatif Awal,6.2,31,22,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9
51,Langowan,NK Perkasa,Regosol,Lempung Berpasir,2.1,168,27,38.0,15.0,15.0,17,Vegetatif Awal,6.2,31,21,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.1
52,Tombulu,Pertiwi,Regosol,Lempung Berpasir,0.7,155,30,15.0,15.0,15.0,16,Vegetatif Awal,5.8,17,21,21,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,4.9
53,Langowan,Pertiwi,Regosol,Pasir,2.8,156,28,0.0,0.0,0.0,74,Generatif,5.5,18,8,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.9
54,Tomohon,Bisi 2,Regosol,Pasir,1.1,163,28,0.0,0.0,0.0,79,Generatif,6.1,13,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.2
55,Tondano Selatan,Pioneer Sweet Corn,Andosol,Pasir,2.1,182,27,15.0,15.0,15.0,19,Vegetatif Awal,6.0,19,16,23,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.8
56,Tombulu,Pertiwi,Regosol,Lempung Berpasir,2.7,170,28,38.0,15.0,15.0,26,Vegetatif Aktif,6.8,24,23,25,Seimbang,Pertahankan Kondisi,0,0,0,105,6.0
57,Langowan,NK Perkasa,Regosol,Lempung Berpasir,1.9,179,30,23.0,0.0,0.0,72,Generatif,6.1,29,18,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.4
58,Langowan,NK Perkasa,Latosol,Lempung Berpasir,0.9,159,30,23.0,0.0,0.0,74,Generatif,6.6,28,20,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.6
59,Kauditan,Pertiwi,Regosol,Pasir,2.8,177,31,23.0,0.0,0.0,81,Generatif,6.4,27,17,18,Seimbang,Pertahankan Kondisi,0,0,0,105,5.2
60,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,1.2,175,26,0.0,0.0,0.0,85,Generatif,6.2,20,19,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.2
61,Sonder,Pioneer Sweet Corn,Andosol,Lempung,1.1,163,26,38.0,15.0,15.0,43,Vegetatif Aktif,5.8,30,20,19,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9
62,Tondano Selatan,Pioneer Sweet Corn,Regosol,Pasir,1.0,161,28,38.0,15.0,15.0,47,Vegetatif Aktif,6.5,24,20,20,Seimbang,Pertahankan Kondisi,0,0,0,90,5.4
63,Kauditan,Pertiwi,Regosol,Lempung Berpasir,0.8,194,29,23.0,0.0,0.0,74,Generatif,5.7,23,18,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.6
64,Tondano Utara,NK Perkasa,Latosol,Lempung,0.6,243,28,23.0,0.0,0.0,20,Vegetatif Awal,6.3,20,13,18,Seimbang,Pertahankan Kondisi,0,0,0,110,4.9
65,Tombulu,Bisi 2,Andosol,Lempung,1.3,198,26,0.0,0.0,0.0,47,Vegetatif Aktif,5.9,21,11,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.6
66,Tomohon,NK Perkasa,Regosol,Pasir,2.1,155,31,15.0,15.0,15.0,69,Generatif,6.3,20,17,25,Seimbang,Pertahankan Kondisi,0,0,0,110,5.6
67,Tombulu,Pertiwi,Latosol,Lempung,1.2,228,28,0.0,0.0,0.0,23,Vegetatif Awal,6.3,16,20,13,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.1
68,Sonder,NK Perkasa,Regosol,Pasir,1.8,220,26,38.0,15.0,15.0,52,Vegetatif Aktif,6.8,21,18,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9
69,Tomohon,Bisi 2,Latosol,Lempung Berpasir,1.4,168,28,38.0,15.0,15.0,49,Vegetatif Aktif,6.0,25,19,16,Seimbang,Pertahankan Kondisi,0,0,0,115,5.6
70,Tombulu,Pioneer Sweet Corn,Andosol,Lempung,2.2,168,31,23.0,0.0,0.0,31,Vegetatif Aktif,6.0,26,19,22,Seimbang,Pertahankan Kondisi,0,0,0,90,6.3
71,Sonder,Pertiwi,Regosol,Pasir,2.1,157,30,38.0,15.0,15.0,57,Generatif,6.6,30,19,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.1
72,Langowan,Pertiwi,Regosol,Pasir,2.5,154,27,15.0,15.0,15.0,74,Generatif,6.6,14,14,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.9
73,Kauditan,Bisi 2,Andosol,Lempung,1.4,199,30,23.0,0.0,0.0,69,Generatif,5.8,23,17,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.7
74,Tombulu,Pertiwi,Latosol,Lempung Berpasir,0.7,197,27,38.0,15.0,15.0,48,Vegetatif Aktif,6.4,24,26,26,Seimbang,Pertahankan Kondisi,0,0,0,105,5.3
75,Sonder,Bisi 2,Regosol,Lempung Berpasir,2.6,223,27,0.0,0.0,0.0,60,Generatif,6.8,14,12,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,4.7
76,Tomohon,Bisi 2,Latosol,Lempung,1.1,230,28,23.0,0.0,0.0,18,Vegetatif Awal,6.4,29,17,16,Seimbang,Pertahankan Kondisi,0,0,0,115,5.7
77,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,1.9,170,31,38.0,15.0,15.0,10,Vegetatif Awal,6.5,28,15,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.2
78,Tomohon,Bisi 2,Regosol,Pasir,2.2,203,29,23.0,0.0,0.0,58,Generatif,6.4,31,8,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.6
79,Kauditan,Bisi 2,Latosol,Lempung,1.9,189,28,38.0,15.0,15.0,28,Vegetatif Aktif,5.8,31,23,19,Seimbang,Pertahankan Kondisi,0,0,0,115,5.3
80,Tombulu,Pertiwi,Latosol,Lempung,0.8,174,26,38.0,15.0,15.0,45,Vegetatif Aktif,6.4,22,14,25,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.3
81,Kauditan,NK Perkasa,Latosol,Lempung,2.9,243,29,0.0,0.0,0.0,14,Vegetatif Awal,6.7,14,17,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.0
82,Tondano Selatan,NK Perkasa,Regosol,Pasir,2.8,207,29,0.0,0.0,0.0,67,Generatif,5.6,23,14,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.2
83,Tondano Utara,Pertiwi,Regosol,Pasir,2.7,248,30,0.0,0.0,0.0,49,Vegetatif Aktif,6.2,14,16,16,Seimbang,Pertahankan Kondisi,0,0,0,105,5.2
84,Tomohon,Pioneer Sweet Corn,Andosol,Pasir,1.1,152,27,15.0,15.0,15.0,58,Generatif,6.0,16,24,26,Seimbang,Pertahankan Kondisi,0,0,0,90,5.5
85,Airmadidi,NK Perkasa,Latosol,Lempung Berpasir,2.7,180,27,23.0,0.0,0.0,71,Generatif,5.5,26,17,19,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0
86,Tondano Selatan,NK Perkasa,Andosol,Lempung,1.5,184,29,0.0,0.0,0.0,77,Generatif,6.5,15,20,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9
87,Airmadidi,Bisi 2,Latosol,Lempung,3.0,178,29,38.0,15.0,15.0,68,Generatif,5.7,21,16,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.1
88,Kauditan,NK Perkasa,Regosol,Lempung Berpasir,1.5,172,26,0.0,0.0,0.0,19,Vegetatif Awal,6.2,24,9,14,Seimbang,Pertahankan Kondisi,0,0,0,110,5.2
89,Tomohon,Pioneer Sweet Corn,Andosol,Lempung,2.8,186,28,15.0,15.0,15.0,60,Generatif,6.7,25,14,20,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9
90,Tondano Utara,NK Perkasa,Andosol,Lempung,1.4,240,29,0.0,0.0,0.0,20,Vegetatif Awal,5.6,14,8,10,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.1
91,Tombulu,Bisi 2,Andosol,Pasir,1.0,181,28,15.0,15.0,15.0,18,Vegetatif Awal,5.8,24,20,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.7
92,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.6,168,29,15.0,15.0,15.0,28,Vegetatif Aktif,6.6,20,18,14,Seimbang,Pertahankan Kondisi,0,0,0,115,4.9
93,Tombulu,Bisi 2,Regosol,Pasir,0.9,152,31,15.0,15.0,15.0,33,Vegetatif Aktif,6.2,26,25,26,Seimbang,Pertahankan Kondisi,0,0,0,115,4.7
94,Tondano Selatan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.4,175,29,15.0,15.0,15.0,24,Vegetatif Awal,6.4,19,22,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.1
95,Tondano Utara,Bisi 2,Andosol,Pasir,2.8,223,28,23.0,0.0,0.0,43,Vegetatif Aktif,6.1,31,13,21,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,6.2
96,Tondano Utara,Bisi 2,Andosol,Lempung,1.5,198,29,0.0,0.0,0.0,47,Vegetatif Aktif,5.9,18,16,16,Seimbang,Pertahankan Kondisi,0,0,0,115,5.2
97,Tombulu,Pioneer Sweet Corn,Andosol,Pasir,2.4,181,26,0.0,0.0,0.0,28,Vegetatif Aktif,5.6,18,9,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.2
98,Tombulu,Pertiwi,Latosol,Lempung Berpasir,1.3,156,30,0.0,0.0,0.0,42,Vegetatif Aktif,6.1,13,11,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,4.4
99,Tombulu,NK Perkasa,Andosol,Pasir,2.8,195,30,15.0,15.0,15.0,47,Vegetatif Aktif,6.3,29,22,25,Seimbang,Pertahankan Kondisi,0,0,0,110,5.4
100,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.2,234,31,15.0,15.0,15.0,17,Vegetatif Awal,6.4,23,20,25,Seimbang,Pertahankan Kondisi,0,0,0,90,4.7
101,Tondano Utara,Pertiwi,Latosol,Lempung,1.0,237,27,0.0,0.0,0.0,43,Vegetatif Aktif,5.8,17,13,13,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.2
102,Tondano Selatan,NK Perkasa,Andosol,Lempung,0.9,195,28,15.0,15.0,15.0,40,Vegetatif Aktif,5.5,18,22,24,Seimbang,Pertahankan Kondisi,0,0,0,110,5.7
103,Kauditan,NK Perkasa,Regosol,Lempung Berpasir,2.7,240,28,15.0,15.0,15.0,52,Vegetatif Aktif,5.6,22,19,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.5
104,Tombulu,Pioneer Sweet Corn,Andosol,Pasir,1.6,228,28,23.0,0.0,0.0,62,Generatif,6.6,29,20,19,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8
105,Airmadidi,Bisi 2,Regosol,Pasir,2.3,215,26,0.0,0.0,0.0,80,Generatif,6.8,23,15,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.1
106,Tondano Utara,Bisi 2,Andosol,Pasir,1.1,244,29,23.0,0.0,0.0,57,Generatif,6.4,19,20,10,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,6.4
107,Tondano Selatan,NK Perkasa,Latosol,Lempung,2.0,230,30,23.0,0.0,0.0,48,Vegetatif Aktif,5.9,24,16,12,Seimbang,Pertahankan Kondisi,0,0,0,110,5.5
108,Tomohon,Pioneer Sweet Corn,Andosol,Lempung,0.8,206,31,0.0,0.0,0.0,73,Generatif,6.6,24,8,21,Seimbang,Pertahankan Kondisi,0,0,0,90,5.4
109,Airmadidi,Pioneer Sweet Corn,Andosol,Pasir,0.6,179,27,15.0,15.0,15.0,41,Vegetatif Aktif,6.0,27,21,14,Seimbang,Pertahankan Kondisi,0,0,0,90,5.4
110,Airmadidi,Pioneer Sweet Corn,Regosol,Lempung Berpasir,2.1,199,30,23.0,0.0,0.0,82,Generatif,6.0,30,17,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.4
111,Tondano Selatan,NK Perkasa,Latosol,Lempung,2.8,160,29,15.0,15.0,15.0,63,Generatif,6.0,14,15,23,Seimbang,Pertahankan Kondisi,0,0,0,110,5.5
112,Tondano Selatan,Bisi 2,Regosol,Pasir,2.0,237,27,0.0,0.0,0.0,36,Vegetatif Aktif,5.6,14,11,12,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.3
113,Langowan,NK Perkasa,Latosol,Lempung Berpasir,2.3,188,30,15.0,15.0,15.0,82,Generatif,5.5,28,25,19,Seimbang,Pertahankan Kondisi,0,0,0,110,4.8
114,Sonder,NK Perkasa,Andosol,Pasir,1.3,222,27,23.0,0.0,0.0,10,Vegetatif Awal,6.6,21,13,17,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0
115,Sonder,NK Perkasa,Regosol,Pasir,2.4,191,28,0.0,0.0,0.0,62,Generatif,5.7,11,8,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.2
116,Airmadidi,Bisi 2,Regosol,Pasir,1.0,210,29,15.0,15.0,15.0,10,Vegetatif Awal,6.3,14,25,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.1
117,Kauditan,Bisi 2,Andosol,Lempung,2.9,237,30,38.0,15.0,15.0,33,Vegetatif Aktif,6.3,29,14,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,6.5
118,Tondano Selatan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.9,186,31,0.0,0.0,0.0,81,Generatif,5.7,19,13,11,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,4.5
119,Sonder,Pertiwi,Regosol,Lempung Berpasir,1.5,247,27,0.0,0.0,0.0,64,Generatif,5.8,25,18,18,Seimbang,Pertahankan Kondisi,0,0,0,105,4.6
120,Tondano Selatan,Pioneer Sweet Corn,Andosol,Pasir,0.9,218,28,38.0,15.0,15.0,59,Generatif,6.3,22,19,24,Seimbang,Pertahankan Kondisi,0,0,0,90,6.7
121,Kauditan,Pioneer Sweet Corn,Regosol,Pasir,0.9,209,27,0.0,0.0,0.0,85,Generatif,6.0,24,13,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,4.9
122,Kauditan,Pertiwi,Latosol,Lempung Berpasir,2.2,215,28,0.0,0.0,0.0,25,Vegetatif Awal,5.7,21,12,10,Seimbang,Pertahankan Kondisi,0,0,0,105,5.2
123,Tondano Utara,Pertiwi,Regosol,Lempung Berpasir,0.7,227,29,0.0,0.0,0.0,35,Vegetatif Aktif,6.7,14,9,10,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,4.4
124,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.8,174,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.0,26,17,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0
125,Sonder,Pertiwi,Andosol,Lempung,2.6,225,31,38.0,15.0,15.0,50,Vegetatif Aktif,6.6,28,24,17,Seimbang,Pertahankan Kondisi,0,0,0,105,6.2
126,Tomohon,Pertiwi,Latosol,Lempung Berpasir,1.9,211,26,15.0,15.0,15.0,70,Generatif,6.0,17,18,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.7
127,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.5,204,28,0.0,0.0,0.0,14,Vegetatif Awal,5.8,18,17,14,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,4.8
128,Airmadidi,NK Perkasa,Andosol,Pasir,2.2,230,28,38.0,15.0,15.0,76,Generatif,6.6,24,19,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,6.7
129,Airmadidi,Bisi 2,Latosol,Lempung Berpasir,0.5,195,27,15.0,15.0,15.0,20,Vegetatif Awal,5.9,17,20,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.4
130,Kauditan,NK Perkasa,Latosol,Lempung,0.7,234,26,0.0,0.0,0.0,52,Vegetatif Aktif,5.9,11,18,13,Seimbang,Pertahankan Kondisi,0,0,0,110,4.5
131,Tondano Selatan,Bisi 2,Latosol,Lempung,2.1,185,29,15.0,15.0,15.0,25,Vegetatif Awal,6.4,27,20,14,Seimbang,Pertahankan Kondisi,0,0,0,115,4.8
132,Tondano Selatan,NK Perkasa,Latosol,Lempung Berpasir,1.0,208,28,15.0,15.0,15.0,53,Vegetatif Aktif,5.5,21,26,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.4
133,Kauditan,NK Perkasa,Andosol,Lempung,0.6,248,31,23.0,0.0,0.0,67,Generatif,5.8,29,20,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.5
134,Airmadidi,Bisi 2,Latosol,Lempung,1.6,190,28,38.0,15.0,15.0,62,Generatif,5.9,26,26,26,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
